ClientId;DataExtracao;Score_Credito;Estado;GÃªnero;Idade;Tempo_Cliente;limite_credito_mercado;Qte_Categorias;Usa_Cartao_Credito;Programa_Fidelidade;sum_pedidos_acumulado;DataUltimaTransacao;churn
345568;30/06/2019;619;São Paulo;Feminino;42;2;0.;1;1;1;422.29;14/09/2019;1
345569;30/06/2019;608;Rio de Janeiro;Feminino;41;1;838.08;1;0;1;468.93;05/10/2019;0
345570;30/06/2019;502;São Paulo;Feminino;42;8;1,596.61;3;1;0;474.71;20/08/2019;1
345571;30/06/2019;699;São Paulo;Feminino;39;1;0.;2;0;0;390.94;21/10/2019;0
345572;30/06/2019;850;Rio de Janeiro;Feminino;43;2;1,255.11;1;1;1;329.52;26/10/2019;0
345573;30/06/2019;645;Rio de Janeiro;Masculino;44;8;1,137.56;2;1;0;623.99;07/09/2019;1
345574;30/06/2019;822;São Paulo;Masculino;50;7;0.;2;1;1;41.93;07/10/2019;0
345575;30/06/2019;376;Minas Gerais;Feminino;29;4;1,150.47;4;1;0;497.28;17/08/2019;1
345576;30/06/2019;501;São Paulo;Masculino;44;4;1,420.51;2;0;1;312.25;05/10/2019;0
345577;30/06/2019;684;São Paulo;Masculino;27;2;1,346.04;1;1;1;298.86;24/10/2019;0
345578;30/06/2019;528;São Paulo;Masculino;31;6;1,020.17;2;0;0;334.09;14/10/2019;0
345579;30/06/2019;497;Rio de Janeiro;Masculino;24;3;0.;2;1;0;318.29;07/10/2019;0
345580;30/06/2019;476;São Paulo;Feminino;34;10;0.;2;1;0;109.42;04/10/2019;0
345581;30/06/2019;549;São Paulo;Feminino;25;5;0.;2;0;0;795.24;28/10/2019;0
345582;30/06/2019;635;Rio de Janeiro;Feminino;35;7;0.;2;1;1;274.8;20/10/2019;0
345583;30/06/2019;616;Minas Gerais;Masculino;45;3;1,431.29;2;0;1;268.03;28/10/2019;0
345584;30/06/2019;653;Minas Gerais;Masculino;58;1;1,326.03;1;1;0;21.24;21/09/2019;1
345585;30/06/2019;549;Rio de Janeiro;Feminino;24;9;0.;2;1;1;60.03;13/10/2019;0
345586;30/06/2019;587;Rio de Janeiro;Masculino;45;6;0.;1;0;0;661.19;20/10/2019;0
345587;30/06/2019;726;São Paulo;Feminino;24;6;0.;2;1;1;228.02;26/10/2019;0
345588;30/06/2019;732;São Paulo;Masculino;41;8;0.;2;1;1;712.03;09/10/2019;0
345589;30/06/2019;636;Rio de Janeiro;Feminino;32;8;0.;2;1;0;577.31;12/10/2019;0
345590;30/06/2019;510;Rio de Janeiro;Feminino;38;4;0.;1;1;0;495.47;18/07/2019;1
345591;30/06/2019;669;São Paulo;Masculino;46;3;0.;2;0;1;35.37;20/10/2019;0
345592;30/06/2019;846;São Paulo;Feminino;38;5;0.;1;1;1;781.73;11/10/2019;0
345593;30/06/2019;577;São Paulo;Masculino;25;3;0.;2;0;1;518.78;10/10/2019;0
345594;30/06/2019;756;Minas Gerais;Masculino;36;2;1,368.16;1;1;1;708.51;10/10/2019;0
345595;30/06/2019;571;São Paulo;Masculino;44;9;0.;2;0;0;160.14;03/10/2019;0
345596;30/06/2019;574;Minas Gerais;Feminino;43;3;1,413.49;1;1;1;417.45;06/10/2019;0
345597;30/06/2019;411;São Paulo;Masculino;29;0;596.97;2;1;1;222.85;29/10/2019;0
345598;30/06/2019;591;Rio de Janeiro;Feminino;39;3;0.;3;1;0;585.29;25/08/2019;1
345599;30/06/2019;533;São Paulo;Masculino;36;7;853.12;1;0;1;653.05;20/10/2019;0
345600;30/06/2019;553;Minas Gerais;Masculino;41;9;1,101.13;2;0;0;341.25;09/10/2019;0
345601;30/06/2019;520;Rio de Janeiro;Feminino;42;6;0.;2;1;1;143.38;30/10/2019;0
345602;30/06/2019;722;Rio de Janeiro;Feminino;29;9;0.;2;1;1;591.8;28/10/2019;0
345603;30/06/2019;475;São Paulo;Feminino;45;0;1,342.64;1;1;0;115.93;14/07/2019;1
345604;30/06/2019;490;Rio de Janeiro;Masculino;31;3;1,452.6;1;0;1;475.28;28/10/2019;0
345605;30/06/2019;804;Rio de Janeiro;Masculino;33;7;765.49;1;0;1;410.22;22/10/2019;0
345606;30/06/2019;850;São Paulo;Masculino;36;7;0.;1;1;1;170.05;21/10/2019;0
345607;30/06/2019;582;Minas Gerais;Masculino;41;6;703.49;2;0;1;741.98;12/10/2019;0
345608;30/06/2019;472;Rio de Janeiro;Masculino;40;4;0.;1;1;0;292.31;19/10/2019;0
345609;30/06/2019;465;São Paulo;Feminino;51;8;1,225.22;1;0;0;755.41;24/09/2019;1
345610;30/06/2019;556;São Paulo;Feminino;61;2;1,174.19;1;1;1;392.31;13/10/2019;0
345611;30/06/2019;834;São Paulo;Feminino;49;2;1,313.95;1;0;0;809.86;29/09/2019;1
345612;30/06/2019;660;Rio de Janeiro;Feminino;61;5;1,559.31;1;1;1;659.74;16/10/2019;0
345613;30/06/2019;776;Minas Gerais;Feminino;32;4;1,094.21;2;1;1;527.16;11/10/2019;0
345614;30/06/2019;829;Minas Gerais;Feminino;27;9;1,120.46;1;1;1;498.78;07/08/2019;1
345615;30/06/2019;637;Minas Gerais;Feminino;39;9;1,378.44;1;1;1;490.1;03/09/2019;1
345616;30/06/2019;550;Minas Gerais;Masculino;38;2;1,033.91;1;0;1;378.66;14/10/2019;0
345617;30/06/2019;776;Minas Gerais;Feminino;37;2;1,037.69;2;1;0;808.75;13/10/2019;0
345618;30/06/2019;698;Minas Gerais;Masculino;44;10;1,163.63;2;1;0;825.25;24/10/2019;0
345619;30/06/2019;585;Minas Gerais;Masculino;36;5;1,460.51;2;0;0;360.1;24/10/2019;0
345620;30/06/2019;788;São Paulo;Feminino;33;5;0.;2;0;0;487.41;22/10/2019;0
345621;30/06/2019;655;Minas Gerais;Masculino;41;8;1,255.62;1;0;0;683.5;22/07/2019;1
345622;30/06/2019;601;Minas Gerais;Masculino;42;1;984.96;1;1;0;166.73;03/09/2019;1
345623;30/06/2019;619;São Paulo;Masculino;43;1;1,252.12;1;1;1;472.54;09/10/2019;0
345624;30/06/2019;656;São Paulo;Masculino;45;5;1,278.64;1;1;0;362.95;06/10/2019;0
345625;30/06/2019;725;Minas Gerais;Masculino;19;0;758.88;1;0;0;190.06;17/10/2019;0
345626;30/06/2019;511;Rio de Janeiro;Feminino;66;4;0.;1;1;0;6.85;29/07/2019;1
345627;30/06/2019;614;São Paulo;Masculino;51;4;406.86;1;1;1;194.9;24/10/2019;0
345628;30/06/2019;742;Minas Gerais;Masculino;35;5;1,368.57;1;0;0;352.12;17/10/2019;0
345629;30/06/2019;687;Minas Gerais;Feminino;27;9;1,523.29;2;0;0;527.06;19/10/2019;0
345630;30/06/2019;555;Rio de Janeiro;Masculino;33;1;560.85;2;0;0;744.99;11/10/2019;0
345631;30/06/2019;684;Rio de Janeiro;Masculino;56;8;787.07;1;1;1;414.16;12/10/2019;0
345632;30/06/2019;603;Minas Gerais;Masculino;26;4;1,091.66;1;1;1;386.84;13/10/2019;0
345633;30/06/2019;751;Minas Gerais;Feminino;36;6;1,698.31;2;1;1;115.66;25/10/2019;0
345634;30/06/2019;581;Minas Gerais;Feminino;34;1;1,016.33;1;1;0;460.13;03/10/2019;0
345635;30/06/2019;735;Minas Gerais;Masculino;43;10;1,231.8;2;1;1;819.47;21/10/2019;0
345636;30/06/2019;661;Minas Gerais;Feminino;35;5;1,507.26;2;0;1;473.57;18/10/2019;0
345637;30/06/2019;675;São Paulo;Feminino;21;8;983.73;1;1;0;75.85;06/10/2019;0
345638;30/06/2019;738;Minas Gerais;Masculino;58;2;1,337.45;4;1;0;118.22;15/09/2019;1
345639;30/06/2019;813;São Paulo;Masculino;29;6;0.;1;1;0;141.47;28/10/2019;0
345640;30/06/2019;657;Rio de Janeiro;Feminino;37;0;1,636.07;1;0;1;184.18;02/10/2019;0
345641;30/06/2019;604;Minas Gerais;Feminino;25;5;1,577.81;2;1;1;243.45;05/10/2019;0
345642;30/06/2019;519;São Paulo;Masculino;36;9;0.;2;0;1;606.51;09/10/2019;0
345643;30/06/2019;735;São Paulo;Feminino;21;1;1,787.18;2;1;0;93.28;11/10/2019;0
345644;30/06/2019;664;São Paulo;Masculino;55;8;0.;2;1;1;579.84;27/10/2019;0
345645;30/06/2019;678;São Paulo;Feminino;32;9;0.;1;1;1;617.54;14/10/2019;0
345646;30/06/2019;757;Rio de Janeiro;Masculino;33;5;772.53;1;0;1;809.33;03/10/2019;0
345647;30/06/2019;416;Minas Gerais;Feminino;41;10;1,221.9;2;1;0;409.59;28/10/2019;0
345648;30/06/2019;665;São Paulo;Feminino;34;1;966.46;2;0;0;714.22;20/10/2019;0
345649;30/06/2019;777;São Paulo;Feminino;32;2;0.;1;1;0;568.58;08/08/2019;1
345650;30/06/2019;543;São Paulo;Feminino;36;3;0.;2;0;0;108.41;28/10/2019;0
345651;30/06/2019;506;São Paulo;Feminino;34;4;903.08;1;1;1;663.48;13/10/2019;0
345652;30/06/2019;493;São Paulo;Feminino;46;4;0.;2;1;0;7.95;20/10/2019;0
345653;30/06/2019;652;Rio de Janeiro;Feminino;75;10;0.;2;1;1;477.82;14/10/2019;0
